Time (s),X,Y,Radius
2.1333333333333333,637,863,49
2.1333333333333333,469,883,48
2.1333333333333333,1357,869,48
2.1333333333333333,962,531,16
2.1333333333333333,55,883,48
2.1333333333333333,1795,893,37
2.1333333333333333,932,35,13
2.1333333333333333,1741,895,39
2.1333333333333333,121,899,32
2.1333333333333333,1099,853,33
2.1333333333333333,1039,913,27
2.1333333333333333,271,887,27
2.1333333333333333,987,34,12
2.1333333333333333,1027,839,23
2.1333333333333333,1456,889,21
2.15,959,290,47
2.15,913,869,49
2.15,211,863,49
2.15,1149,883,48
2.15,1219,857,47
2.15,1519,883,49
2.15,973,883,49
2.15,805,889,49
2.15,415,883,49
2.15,637,863,49
2.15,469,883,48
2.15,1357,869,48
2.15,962,531,16
2.15,55,883,48
2.15,1795,893,37
2.15,932,35,13
2.15,1741,895,39
2.15,121,899,32
2.15,1099,853,33
2.15,1039,913,27
2.15,271,887,27
2.15,987,34,12
2.15,1027,839,23
2.15,1456,889,21
2.1666666666666665,961,291,47
2.1666666666666665,913,869,49
2.1666666666666665,211,863,49
2.1666666666666665,1105,883,48
2.1666666666666665,1219,857,47
2.1666666666666665,973,883,49
2.1666666666666665,1519,883,49
2.1666666666666665,805,889,49
2.1666666666666665,415,883,49
2.1666666666666665,637,863,49
2.1666666666666665,469,883,48
2.1666666666666665,1357,869,48
2.1666666666666665,962,531,16
2.1666666666666665,55,883,48
2.1666666666666665,1795,893,37
2.1666666666666665,932,35,13
2.1666666666666665,1741,895,39
2.1666666666666665,121,899,32
2.1666666666666665,1039,913,27
2.1666666666666665,271,887,27
2.1666666666666665,987,34,12
2.1666666666666665,1027,839,23
2.1666666666666665,1456,889,21
2.183333333333333,959,290,47
2.183333333333333,913,869,49
2.183333333333333,211,863,49
2.183333333333333,1149,883,48
2.183333333333333,1219,857,47
2.183333333333333,1519,883,49
2.183333333333333,973,883,49
2.183333333333333,805,889,49
2.183333333333333,415,883,49
2.183333333333333,637,863,49
2.183333333333333,469,883,48
2.183333333333333,1357,869,48
2.183333333333333,962,531,16
2.183333333333333,55,883,48
2.183333333333333,1795,893,37
2.183333333333333,932,35,13
2.183333333333333,1741,895,39
2.183333333333333,121,899,32
2.183333333333333,1099,853,33
2.183333333333333,1039,913,27
2.183333333333333,271,887,27
2.183333333333333,987,34,12
2.183333333333333,1027,839,23
2.183333333333333,1456,889,21
2.2,959,290,47
2.2,913,869,49
2.2,211,863,49
2.2,1149,883,48
2.2,1219,857,47
2.2,1519,883,49
2.2,973,883,49
2.2,805,889,49
2.2,415,883,49
2.2,637,863,49
2.2,469,883,48
2.2,1357,869,48
2.2,962,531,16
2.2,55,883,48
2.2,1795,893,37
2.2,932,35,13
2.2,1741,895,39
2.2,121,899,32
2.2,1099,853,33
2.2,1039,913,27
2.2,271,887,27
2.2,987,34,12
2.2,1027,839,23
2.2,1456,889,21
2.216666666666667,961,291,47
2.216666666666667,913,869,49
2.216666666666667,211,863,49
2.216666666666667,1105,883,48
2.216666666666667,1219,857,47
2.216666666666667,973,883,49
2.216666666666667,1519,883,49
2.216666666666667,805,889,49
2.216666666666667,415,883,49
2.216666666666667,637,863,49
2.216666666666667,469,883,48
2.216666666666667,1357,869,48
2.216666666666667,962,531,16
2.216666666666667,55,883,48
2.216666666666667,1795,893,37
2.216666666666667,932,35,13
2.216666666666667,1741,895,39
2.216666666666667,121,899,32
2.216666666666667,1039,913,27
2.216666666666667,271,887,27
2.216666666666667,987,34,12
2.216666666666667,1027,839,23
2.216666666666667,1456,889,21
2.2333333333333334,959,290,47
2.2333333333333334,913,869,49
2.2333333333333334,211,863,49
2.2333333333333334,1149,883,48
2.2333333333333334,1219,857,47
2.2333333333333334,1519,883,49
2.2333333333333334,973,883,49
2.2333333333333334,805,889,49
2.2333333333333334,415,883,49
2.2333333333333334,637,863,49
2.2333333333333334,469,883,48
2.2333333333333334,1357,869,48
